topic_1	topic_2
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.917181734495733
-8.307705966549513	-4.383251374569777
-8.307705966549513	-5.27055456957068
-8.307705966549513	-2.8726592967723095
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-5.26318352882609	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.909810693751143	-4.601504940589796
-8.307705966549513	-5.27055456957068
-5.26318352882609	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.26318352882609	-8.315077007294104
-8.307705966549513	-4.383251374569777
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.27055456957068
-8.307705966549513	-4.881089802808957
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.26318352882609	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.27055456957068
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-4.881089802808957
-8.307705966549513	-4.881089802808957
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-3.4325086433483616	-8.315077007294104
-5.26318352882609	-8.315077007294104
-5.26318352882609	-8.315077007294104
-8.307705966549513	-4.881089802808957
-8.307705966549513	-5.27055456957068
-5.26318352882609	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.27055456957068
-8.307705966549513	-5.27055456957068
-5.26318352882609	-8.315077007294104
-8.307705966549513	-5.27055456957068
-8.307705966549513	-5.27055456957068
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-4.052397130252788
-5.26318352882609	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-5.26318352882609	-8.315077007294104
-8.307705966549513	-5.27055456957068
-5.26318352882609	-8.315077007294104
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-5.909810693751143	-8.315077007294104
-8.307705966549513	-3.1734134507914433
-8.307705966549513	-4.881089802808957
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
-5.26318352882609	-8.315077007294104
-8.307705966549513	-4.204203143120792
-4.3758803338251875	-8.315077007294104
-8.307705966549513	-5.917181734495733
-8.307705966549513	-5.917181734495733
-5.909810693751143	-8.315077007294104
