year	month	yr_mo	ct_k
1949	1	1949.0416666666667	112
1949	2	1949.125	118
1949	3	1949.2083333333333	132
1949	4	1949.2916666666667	129
1949	5	1949.375	121
1949	6	1949.4583333333333	135
1949	7	1949.5416666666667	148
1949	8	1949.625	148
1949	9	1949.7083333333333	136
1949	10	1949.7916666666667	119
1949	11	1949.875	104
1949	12	1949.9583333333333	118
1950	1	1950.0416666666667	115
1950	2	1950.125	126
1950	3	1950.2083333333333	141
1950	4	1950.2916666666667	135
1950	5	1950.375	125
1950	6	1950.4583333333333	149
1950	7	1950.5416666666667	170
1950	8	1950.625	170
1950	9	1950.7083333333333	158
1950	10	1950.7916666666667	133
1950	11	1950.875	114
1950	12	1950.9583333333333	140
1951	1	1951.0416666666667	145
1951	2	1951.125	150
1951	3	1951.2083333333333	178
1951	4	1951.2916666666667	163
1951	5	1951.375	172
1951	6	1951.4583333333333	178
1951	7	1951.5416666666667	199
1951	8	1951.625	199
1951	9	1951.7083333333333	184
1951	10	1951.7916666666667	162
1951	11	1951.875	146
1951	12	1951.9583333333333	166
1952	1	1952.0416666666667	171
1952	2	1952.125	180
1952	3	1952.2083333333333	193
1952	4	1952.2916666666667	181
1952	5	1952.375	183
1952	6	1952.4583333333333	218
1952	7	1952.5416666666667	230
1952	8	1952.625	242
1952	9	1952.7083333333333	209
1952	10	1952.7916666666667	191
1952	11	1952.875	172
1952	12	1952.9583333333333	194
1953	1	1953.0416666666667	196
1953	2	1953.125	196
1953	3	1953.2083333333333	236
1953	4	1953.2916666666667	235
1953	5	1953.375	229
1953	6	1953.4583333333333	243
1953	7	1953.5416666666667	264
1953	8	1953.625	272
1953	9	1953.7083333333333	237
1953	10	1953.7916666666667	211
1953	11	1953.875	180
1953	12	1953.9583333333333	201
1954	1	1954.0416666666667	204
1954	2	1954.125	188
1954	3	1954.2083333333333	235
1954	4	1954.2916666666667	227
1954	5	1954.375	234
1954	6	1954.4583333333333	264
1954	7	1954.5416666666667	302
1954	8	1954.625	293
1954	9	1954.7083333333333	259
1954	10	1954.7916666666667	229
1954	11	1954.875	203
1954	12	1954.9583333333333	229
1955	1	1955.0416666666667	242
1955	2	1955.125	233
1955	3	1955.2083333333333	267
1955	4	1955.2916666666667	269
1955	5	1955.375	270
1955	6	1955.4583333333333	315
1955	7	1955.5416666666667	364
1955	8	1955.625	347
1955	9	1955.7083333333333	312
1955	10	1955.7916666666667	274
1955	11	1955.875	237
1955	12	1955.9583333333333	278
1956	1	1956.0416666666667	284
1956	2	1956.125	277
1956	3	1956.2083333333333	317
1956	4	1956.2916666666667	313
1956	5	1956.375	318
1956	6	1956.4583333333333	374
1956	7	1956.5416666666667	413
1956	8	1956.625	405
1956	9	1956.7083333333333	355
1956	10	1956.7916666666667	306
1956	11	1956.875	271
1956	12	1956.9583333333333	306
1957	1	1957.0416666666667	315
1957	2	1957.125	301
1957	3	1957.2083333333333	356
1957	4	1957.2916666666667	348
1957	5	1957.375	355
1957	6	1957.4583333333333	422
1957	7	1957.5416666666667	465
1957	8	1957.625	467
1957	9	1957.7083333333333	404
1957	10	1957.7916666666667	347
1957	11	1957.875	305
1957	12	1957.9583333333333	336
1958	1	1958.0416666666667	340
1958	2	1958.125	318
1958	3	1958.2083333333333	362
1958	4	1958.2916666666667	348
1958	5	1958.375	363
1958	6	1958.4583333333333	435
1958	7	1958.5416666666667	491
1958	8	1958.625	505
1958	9	1958.7083333333333	404
1958	10	1958.7916666666667	359
1958	11	1958.875	310
1958	12	1958.9583333333333	337
1959	1	1959.0416666666667	360
1959	2	1959.125	342
1959	3	1959.2083333333333	406
1959	4	1959.2916666666667	396
1959	5	1959.375	420
1959	6	1959.4583333333333	472
1959	7	1959.5416666666667	548
1959	8	1959.625	559
1959	9	1959.7083333333333	463
1959	10	1959.7916666666667	407
1959	11	1959.875	362
1959	12	1959.9583333333333	405
1960	1	1960.0416666666667	417
1960	2	1960.125	391
1960	3	1960.2083333333333	419
1960	4	1960.2916666666667	461
1960	5	1960.375	472
1960	6	1960.4583333333333	535
1960	7	1960.5416666666667	622
1960	8	1960.625	606
1960	9	1960.7083333333333	508
1960	10	1960.7916666666667	461
1960	11	1960.875	390
1960	12	1960.9583333333333	432
