doc_idx	trm_idx	tf_ct
1	116	1
1	153	2
1	218	1
1	272	1
1	299	1
1	302	1
1	447	2
1	455	1
1	548	1
1	597	1
1	641	2
1	656	1
1	698	1
1	815	2
1	916	1
1	967	1
1	974	1
1	1056	1
1	1137	4
1	1142	4
1	1264	1
1	1283	1
1	1443	1
1	1594	1
1	1595	1
1	1601	1
1	1641	1
1	1668	2
1	1679	1
1	1723	1
1	1729	4
1	1939	1
1	1987	1
1	2011	1
1	2347	1
1	2466	1
1	2671	1
1	2717	2
1	2719	1
1	2786	1
1	2877	1
1	2921	1
1	2923	2
1	3169	2
1	3350	1
1	3533	1
1	3545	2
1	3596	1
1	3619	1
1	3659	1
1	3688	1
1	3689	1
1	3690	2
1	3694	1
1	3699	1
1	3701	1
1	3730	1
1	3749	1
1	3830	2
1	3836	2
1	3882	1
1	3889	1
1	4015	1
1	4052	1
1	4068	1
1	4081	2
1	4108	1
1	4124	2
1	4125	1
1	4126	1
1	4127	1
1	4216	3
1	4222	3
1	4223	1
1	4232	1
1	4291	1
1	4417	1
1	4541	1
1	4606	1
1	4621	2
1	4640	1
1	4901	1
1	4921	1
1	5005	3
1	5038	1
1	5106	1
1	5112	1
1	5118	1
1	5127	1
1	5176	2
1	5179	2
1	5189	1
1	5205	2
1	5211	1
1	5292	1
1	5420	1
1	5457	2
1	5458	1
1	5504	1
1	5534	1
1	5548	1
1	5579	1
1	5648	1
1	5734	3
1	5797	1
1	5856	1
1	5989	1
1	6089	1
1	6115	1
1	6145	1
1	6157	2
1	6190	2
1	6192	1
1	6268	1
1	6305	2
1	6457	1
1	6480	1
1	6509	1
1	6519	1
1	6619	1
1	6724	2
1	6769	2
1	6826	1
1	6834	1
1	6954	2
1	7050	7
1	7094	1
1	7226	1
1	7231	1
1	7252	1
1	7437	1
1	7495	1
1	7758	1
1	7766	1
1	7771	1
1	7862	1
1	7903	1
1	8112	1
1	8128	1
1	8163	1
1	8217	1
1	8245	2
1	8252	2
1	8284	7
1	8285	1
1	8358	1
1	8398	1
1	8413	1
1	8420	1
1	8425	1
1	8503	1
1	8543	1
1	8544	2
1	8551	2
1	8559	5
1	8563	1
1	8684	1
1	8740	1
1	8859	1
1	8872	1
1	8906	1
1	9086	2
1	9087	5
1	9240	1
1	9263	1
1	9324	1
1	9343	1
1	9366	7
1	9466	1
1	9499	2
1	9518	1
1	9580	1
1	9589	1
1	9762	1
1	9782	1
1	10154	1
1	10259	1
1	10299	1
1	10337	1
1	10389	2
1	10391	1
1	10423	1
1	10428	3
1	10429	1
1	10451	1
1	10454	1
2	19	1
2	80	1
2	258	1
2	403	1
2	407	1
2	455	1
2	544	1
2	545	1
2	581	1
2	621	1
2	629	1
2	669	2
2	892	7
2	903	1
2	917	1
2	982	1
2	1070	2
2	1100	2
2	1236	1
2	1267	1
2	1365	1
2	1759	2
2	1857	1
2	1869	1
2	1874	1
2	1911	4
2	1934	1
2	1968	1
2	1987	1
2	1993	1
2	2036	1
2	2066	1
2	2283	1
2	2444	1
2	2585	2
2	2591	1
2	2694	1
2	2755	1
2	2793	1
2	2807	1
2	2837	1
2	3045	1
2	3050	1
2	3111	1
2	3113	1
2	3235	1
2	3672	1
2	3699	1
2	3763	1
2	3765	1
2	3797	4
2	3853	2
2	3854	1
2	3887	2
2	3926	1
2	3998	1
2	4065	1
2	4098	1
2	4175	2
2	4280	2
2	4618	1
2	4634	1
2	4676	1
2	4690	1
2	4703	1
2	4740	1
2	4921	1
2	4948	2
2	4949	2
2	4971	6
2	4972	2
2	4974	2
2	5035	1
2	5073	2
2	5112	1
2	5139	1
2	5205	1
2	5213	1
2	5250	1
2	5340	1
2	5633	4
2	5662	1
