idx_1	idx_2	idx_3	i_pg	title
1	0	0	5	Introduction
2	0	0	7	Exploratory Data Analysis (EDA)
2	1	0	7	Why Explore the Data?
2	2	0	8	Data Visualization
2	3	0	13	Centrality, Dispersion
2	3	1	13	Order Statistics
2	3	2	14	Central Tendency
2	3	3	15	Dispersion or Spread
2	3	4	15	Shape
2	3	5	16	Measures of Uncertainty
2	3	6	17	Joint Variability
2	4	0	19	Simpson's Paradox
2	5	0	20	Transforming Data
2	6	0	21	A Final Look
3	0	0	23	Unsupervised Learning
3	1	0	23	Density Estimators
3	1	1	23	Histograms
3	1	2	24	Kernel Density Estimates (KDE)
3	2	0	28	Cluster Analysis
3	2	1	28	Point Scatter
3	3	0	28	Distance Functions
3	3	1	28	A Few Common Pairwise Distance Functions
3	4	0	30	Some Clustering Techniques
3	4	1	30	Hierarchical Clustering
3	4	2	33	Prototype Methods
3	4	3	36	Other Clustering Techniques
3	4	4	37	Fuzzy Clustering
3	4	5	38	Density Based Approaches
3	5	0	42	Text Clustering
3	6	0	43	Association Rule Mining
4	0	0	45	Some Linear Algebra
4	1	0	45	Introduction
4	2	0	45	Linear Algebra  Basics
4	3	0	46	Useful Matrices
4	3	1	46	Centering
4	3	2	47	Covariance Matrix
4	4	0	47	Eigenvalues and Eigenvectors
4	4	1	48	Singular Value Decomposition (SVD)
4	5	0	49	Transformation and Projection
4	6	0	51	Projection and Change of Basis
5	0	0	53	Dimension Reduction
5	1	0	53	Curse of Dimensionality
5	2	0	55	Dimension Reduction Techniques
5	2	1	55	Principal Component Analysis (PCA)
5	2	2	59	Multidimensional Scaling (MDS)
5	2	3	60	Stress-Minimizing MDS
5	2	4	61	Non-Negative Matrix Factorization (NNMF)
5	2	5	62	SNE and t-SNE
6	0	0	64	Topic Modeling
6	1	0	64	Latent Semantic Indexing (LSI)
6	2	0	66	Probabilistic Latent Semantic Analysis (PLSA)
6	3	0	67	Latent Dirichlet Allocation (LDA)
6	3	1	67	Dirichlet Distribution
7	0	0	70	Sampling
7	1	0	70	Introduction
7	2	0	70	Sampling from a Population
7	2	1	70	Simple Random Sample (SRS)
7	2	2	71	Systematic Sampling
7	2	3	71	Stratified Sampling
7	2	4	72	Cluster Sampling
7	3	0	72	Sampling from Distributions
7	3	1	72	Inverse Transform
7	3	2	74	General Transformation Methods
7	3	3	74	Accept-Reject Methos
7	4	0	76	Monte Carlo Methods
7	4	1	78	Monte Carlo Sampling
7	4	2	81	Importance Sampling
8	0	0	83	Time Series
8	1	0	83	Introduction
8	2	0	83	Simple Descriptive Techniques
8	2	1	84	Stabilizing a Time Series
8	2	2	86	Autocovariance, Autocorrelation, Correlogram
8	3	0	87	Time Series Models
8	3	1	88	A Few Models
8	4	0	92	Forecasting
8	4	1	93	Simple Exponential Smoothing
8	4	2	93	Holt and Holt-Winters Forecasting
8	4	3	94	Box-Jenkins Procedure (ARIMA)
9	0	0	95	App-A: Probability Review
9	1	0	95	Basic Principles
9	2	0	100	Bayes Theorem
9	3	0	101	Probability Distributions
9	3	1	101	Distributions of One Variable
9	3	2	105	Joint Distributions
9	3	3	108	Estimation
9	4	0	110	A Few Discrete Distributions
9	5	0	114	A Few Continuous Distributions
9	6	0	118	Limit Theorems
10	0	0	120	App-B: SVD Notes by Carla Martin
10	1	0	120	Factoring Matrices
10	2	0	120	Eigenvalue Decomposition
10	2	1	120	Some Eigenvalue Facts
10	2	2	121	"Big Data" Applications
10	3	0	122	Singular Value Decomposition (SVD)
10	3	1	122	(Cool) Facts about the SVD
10	3	2	123	(Very Cool) Facts about the SVD
10	3	3	124	Applications
