year	dtemp	type
1850	-0.5	land
1851	-0.6	land
1852	-0.5	land
1853	-0.5	land
1854	-0.2	land
1855	-0.5	land
1856	-0.8	land
1857	-0.4	land
1858	-0.4	land
1859	-0.1	land
1860	-0.7	land
1861	-0.2	land
1862	-0.5	land
1863	-0.2	land
1864	-0.3	land
1865	-0.6	land
1866	-0.4	land
1867	-0.6	land
1868	-0.3	land
1869	-0.5	land
1870	-0.2	land
1871	-0.1	land
1872	-0.4	land
1873	-0.3	land
1874	-0.4	land
1875	-0.5	land
1876	-0.2	land
1877	-0.1	land
1878	0.26	land
1879	-0.2	land
1880	-0.5	land
1881	-0.4	land
1882	-0.2	land
1883	-0.4	land
1884	-0.7	land
1885	-0.4	land
1886	-0.5	land
1887	-0.3	land
1888	-0.7	land
1889	-0	land
1890	-0.2	land
1891	-0.3	land
1892	-0.5	land
1893	-0.4	land
1894	0.1	land
1895	-0.5	land
1896	-0.5	land
1897	-0.7	land
1898	-1.1	land
1899	-0.5	land
1900	-0	land
1901	0.21	land
1902	-0.4	land
1903	0.05	land
1904	-0.6	land
1905	-0.7	land
1906	-0.3	land
1907	-0.3	land
1908	-0.8	land
1909	-0.7	land
1910	-0.5	land
1911	-0.8	land
1912	-0.7	land
1913	-0.4	land
1914	-0.1	land
1915	-0.2	land
1916	-0.5	land
1917	-1	land
1918	-0.3	land
1919	-0.5	land
1920	0.05	land
1921	-0.1	land
1922	-0	land
1923	-0.3	land
1924	0.01	land
1925	-0.2	land
1926	0.53	land
1927	-0.6	land
1928	-0.2	land
1929	-0.3	land
1930	0.21	land
1931	-0.1	land
1932	-0.1	land
1933	-0.3	land
1934	-0.3	land
1935	0.13	land
1936	-0.3	land
1937	-0.4	land
1938	0.38	land
1939	-0.2	land
1940	0.06	land
1941	-0.1	land
1942	-0.1	land
1943	-0	land
1944	0.36	land
1945	-0	land
1946	0	land
1947	0.32	land
1948	-0.3	land
1949	0.24	land
1950	-0	land
1951	-0.2	land
1952	-0.3	land
1953	0.33	land
1954	-0.3	land
1955	-0.6	land
1956	-0.2	land
1957	-0.3	land
1958	0.03	land
1959	0.49	land
1960	-0.9	land
1961	0.08	land
1962	0.36	land
1963	-0.4	land
1964	-0.3	land
1965	-0.1	land
1966	-0.1	land
1967	0.19	land
1968	0.8	land
1969	-0.2	land
1970	-0	land
1971	-0	land
1972	0.13	land
1973	0.61	land
1974	0.18	land
1975	0.32	land
1976	-0.2	land
1977	0.29	land
1978	0.37	land
1979	0.1	land
1980	0.19	land
1981	0.85	land
1982	-0	land
1983	0.64	land
1984	0.36	land
1985	0.42	land
1986	0.67	land
1987	-0.2	land
1988	0.51	land
1989	0.66	land
1990	1.61	land
1991	0.45	land
1992	0.78	land
1993	0.64	land
1994	0.41	land
1995	0.75	land
1996	0.44	land
1997	0.81	land
1998	0.94	land
1999	0.36	land
2000	1.14	land
2001	0.85	land
2002	1.58	land
2003	0.84	land
2004	1.02	land
2005	1.36	land
2006	1.2	land
2007	1.27	land
2008	1.65	land
2009	0.83	land
2010	1.54	land
2011	1.27	land
2012	0.93	land
2013	1.1	land
2014	1.52	land
2015	1.76	land
2016	2.5	land
2017	2.15	land
2018	1.63	land
2019	2.14	land
2020	1.95	land
2021	1.58	land
2022	2.13	land
2023	2.26	land
1850	-0.12	ocean
1851	-0.08	ocean
1852	-0.14	ocean
1853	0.04	ocean
1854	0.04	ocean
1855	0	ocean
1856	-0.05	ocean
1857	-0.27	ocean
1858	-0.09	ocean
1859	0.01	ocean
1860	0.06	ocean
1861	-0.28	ocean
1862	-0.16	ocean
1863	-0.06	ocean
1864	-0.11	ocean
1865	0.04	ocean
1866	0.12	ocean
1867	0.01	ocean
1868	0.02	ocean
1869	0.02	ocean
1870	0.07	ocean
1871	0.05	ocean
1872	-0.07	ocean
1873	-0.19	ocean
1874	-0.19	ocean
1875	-0.07	ocean
1876	-0.1	ocean
1877	0.11	ocean
1878	0.28	ocean
1879	0.07	ocean
1880	0.08	ocean
1881	0.11	ocean
1882	0.08	ocean
1883	-0.05	ocean
1884	-0.1	ocean
1885	-0.18	ocean
1886	-0.14	ocean
1887	-0.2	ocean
1888	-0.14	ocean
1889	0.13	ocean
1890	-0.23	ocean
1891	-0.12	ocean
1892	-0.12	ocean
