document	term	count
1861-Lincoln	fellow-citizens	1
1861-Lincoln	of	146
1933-Roosevelt	of	109
1961-Kennedy	of	65
1861-Lincoln	the	256
1933-Roosevelt	the	130
1961-Kennedy	the	86
1861-Lincoln	united	5
1933-Roosevelt	united	2
1961-Kennedy	united	2
1861-Lincoln	states	19
1933-Roosevelt	states	3
1961-Kennedy	states	2
1861-Lincoln	:	5
1961-Kennedy	:	4
1861-Lincoln	in	77
1933-Roosevelt	in	44
1961-Kennedy	in	26
1861-Lincoln	compliance	1
1861-Lincoln	with	20
1933-Roosevelt	with	13
1961-Kennedy	with	5
1861-Lincoln	a	56
1933-Roosevelt	a	38
1961-Kennedy	a	29
1861-Lincoln	custom	1
1861-Lincoln	as	34
1933-Roosevelt	as	12
1961-Kennedy	as	6
1861-Lincoln	old	3
1933-Roosevelt	old	4
1961-Kennedy	old	1
1861-Lincoln	government	18
1933-Roosevelt	government	3
1861-Lincoln	itself	7
1933-Roosevelt	itself	3
1961-Kennedy	itself	1
1861-Lincoln	,	195
1933-Roosevelt	,	71
1961-Kennedy	,	84
1861-Lincoln	i	44
1933-Roosevelt	i	19
1961-Kennedy	i	5
1861-Lincoln	appear	1
1861-Lincoln	before	7
1933-Roosevelt	before	3
1961-Kennedy	before	2
1861-Lincoln	you	21
1933-Roosevelt	you	1
1961-Kennedy	you	7
1861-Lincoln	to	134
1933-Roosevelt	to	50
1961-Kennedy	to	43
1861-Lincoln	address	2
1933-Roosevelt	address	2
1861-Lincoln	briefly	1
1861-Lincoln	and	105
1933-Roosevelt	and	58
1961-Kennedy	and	41
1861-Lincoln	take	5
1933-Roosevelt	take	3
1961-Kennedy	take	1
1861-Lincoln	your	4
1961-Kennedy	your	3
1861-Lincoln	presence	2
1861-Lincoln	oath	5
1961-Kennedy	oath	1
1861-Lincoln	prescribed	2
1961-Kennedy	prescribed	1
1861-Lincoln	by	42
1933-Roosevelt	by	19
1961-Kennedy	by	7
1861-Lincoln	constitution	24
1933-Roosevelt	constitution	1
1861-Lincoln	be	76
1933-Roosevelt	be	22
1961-Kennedy	be	7
1861-Lincoln	taken	1
1933-Roosevelt	taken	1
1861-Lincoln	president	2
1961-Kennedy	president	4
1861-Lincoln	""	10
1961-Kennedy	""	4
