s_idx	s_tag	topic	f_prefix	auth	title
1	s1a	eda	s1a_eda	TT	Exploratory Data Analysis
1	s1b	condl_distn	s1b_condl_distn	TT	Conditional Distributions
2	s2a	clustering	s2a_clustering	TT	Clustering: EDA in Higher Dimensions
2	s2b	text_analysis	s2b_text_analysis	TT	Text Analysis
3	s3a	study_design	s3a_study_design	TT	Sampling and Study Design
3	s3b	stat_sim	s3b_stat_sim	TT	Statistical Simulation
4	s4a			MJ	<MJ slides on Linear Algebra>
4	s4b			MJ	<MJ slides on Dimension Reduction>
5	s5a	ts_intro	s5a_ts_intro	TT	Time Series Data Analysis
5	s5b	ts_forecast	s5b_ts_forecast	TT	Time Series Forecasting
6	s6a	topic_review	s6a_topic_review	TT	Part 1: Review of Selected Topics
6	s6b	discussion	s6b_discussion	TT	Preparing to Teach Part 1
5	s5c	ts_fourier	s5c_ts_fourier	TT	Time Series Fourier Analysis
7	xtra	Dirichlet_dstn	xtra_Dirichlet_dstn	TT	The Dirichlet Distribution
